4	2	0.0111	155.655
4	3	0.728	40.355
5	3	0.0139	59.0336
5	4	0.851	18.6786
6	4	0.0132	28.825
6	5	0.58	10.1464
7	6	0.242	6.11795
8	7	0.083	3.97079
9	8	0.0275	2.72236
10	9	0.0139	1.94729
19	18	0.0137	0.26261
20	19	0.0125	0.224212
24	23	0.0113	0.12805
25	24	0.0141	0.112994
26	25	0.0131	0.100209
28	26	0.0109	0.16917
29	28	0.0163	0.0717669
30	28	0.0199	0.136477
30	29	0.019	0.0647105
31	29	0.0113	0.12326
31	30	0.0437	0.0585498
32	30	0.0203	0.111697
32	31	0.0604	0.053147
33	31	0.0175	0.101536
33	32	0.0565	0.048389
34	32	0.036	0.0925716
34	33	0.0784	0.0441825
