4	2	0.0157	763.334
4	3	0.0287	197.901
5	3	0.0249	289.502
5	4	0.765	91.6001
6	4	0.0294	141.358
6	5	0.832	49.7581
7	5	0.0327	79.7606
7	6	0.702	30.0026
8	6	0.0302	49.4754
8	7	0.484	19.4728
9	6	0.0111	62.8259
9	7	0.0201	32.8233
9	8	0.272	13.3505
10	8	0.0118	22.9
10	9	0.133	9.54953
11	10	0.0744	7.06557
12	11	0.0385	5.37395
13	12	0.0236	4.1822
14	13	0.0126	3.31844
18	17	0.0204	1.52173
19	18	0.0105	1.28784
21	20	0.01	0.946234
23	22	0.0135	0.715525
24	23	0.0175	0.627962
25	23	0.0101	1.18209
25	24	0.0196	0.554124
26	25	0.0189	0.491425
27	26	0.0107	0.43784
28	25	0.0101	1.32104
28	26	0.0259	0.829611
28	27	0.0364	0.391771
